SubjectLabel,SubjectID,DirectionCount,NaturalNeighborObservedHRTFMaxAbsError,BarycentricObservedHRTFMaxAbsError,FSPAEFrequencyMaxAbsError_Hz,RANFGridMaxAbsError_deg,RANFObservedHRIRMaxAbsError,EvaluationDirectionCount,AllFinite
P0341,341,14,1.33457858988121e-15,1.38395712711525e-15,0,0,7.34428551307786e-09,743,1
P0341,341,26,1.33457858988121e-15,1.38395712711525e-15,0,0,7.34428551307786e-09,743,1
P0341,341,50,1.88492852952189e-15,1.97669589749481e-15,0,0,7.35539743002001e-09,743,1
P0354,354,14,2.12107811032234e-15,2.21001319882168e-15,0,0,7.41676425830562e-09,743,1
P0354,354,26,2.12107811032234e-15,2.12107811032234e-15,0,0,7.41676425830562e-09,743,1
P0354,354,50,2.49491594653198e-15,2.49491594653198e-15,0,0,1.04952160295824e-08,743,1
P0360,360,14,1.29948273372089e-15,1.29948273372089e-15,0,0,7.43394398816655e-09,743,1
P0360,360,26,1.81241996048015e-15,1.89064168386892e-15,0,0,7.43394398816655e-09,743,1
P0360,360,50,1.81241996048015e-15,1.89471196131175e-15,0,0,7.43394398816655e-09,743,1
P0369,369,14,1.56320821179986e-15,1.56320821179986e-15,0,0,6.794165563484e-09,743,1
P0369,369,26,1.63263193740412e-15,1.60118641699469e-15,0,0,7.41846636898025e-09,743,1
P0369,369,50,2.68527125478709e-15,2.68527125478709e-15,0,0,7.41846636898025e-09,743,1
