SubjectID,SparseOrder,DirectionCount,Method,MethodLabel,Metric,Value_dB
8,1,6,SH,Traditional SH interpolation,FullSphereERB,3.674567
8,1,6,SH,Traditional SH interpolation,Contralateral25ERB,7.327018
8,1,6,SH,Traditional SH interpolation,ContralateralHighFrequency,10.38853
8,1,6,SH,Traditional SH interpolation,HorizontalILDMAE,7.419243
8,1,6,MCA,MCA,FullSphereERB,1.728419
8,1,6,MCA,MCA,Contralateral25ERB,2.378221
8,1,6,MCA,MCA,ContralateralHighFrequency,5.781596
8,1,6,MCA,MCA,HorizontalILDMAE,1.826509
8,1,6,MCARv32,MCAR v3.2 epoch 39,FullSphereERB,2.17639
8,1,6,MCARv32,MCAR v3.2 epoch 39,Contralateral25ERB,2.355518
8,1,6,MCARv32,MCAR v3.2 epoch 39,ContralateralHighFrequency,5.041039
8,1,6,MCARv32,MCAR v3.2 epoch 39,HorizontalILDMAE,2.231178
8,1,6,FSPAE,FSP-AE direct generation,FullSphereERB,13.60575
8,1,6,FSPAE,FSP-AE direct generation,Contralateral25ERB,9.30484
8,1,6,FSPAE,FSP-AE direct generation,ContralateralHighFrequency,15.43379
8,1,6,FSPAE,FSP-AE direct generation,HorizontalILDMAE,3.703055
8,2,14,SH,Traditional SH interpolation,FullSphereERB,3.052061
8,2,14,SH,Traditional SH interpolation,Contralateral25ERB,5.383616
8,2,14,SH,Traditional SH interpolation,ContralateralHighFrequency,7.894906
8,2,14,SH,Traditional SH interpolation,HorizontalILDMAE,5.405709
8,2,14,MCA,MCA,FullSphereERB,1.07442
8,2,14,MCA,MCA,Contralateral25ERB,1.69425
8,2,14,MCA,MCA,ContralateralHighFrequency,4.580438
8,2,14,MCA,MCA,HorizontalILDMAE,1.579976
8,2,14,MCARv32,MCAR v3.2 epoch 39,FullSphereERB,1.890898
8,2,14,MCARv32,MCAR v3.2 epoch 39,Contralateral25ERB,2.493306
8,2,14,MCARv32,MCAR v3.2 epoch 39,ContralateralHighFrequency,4.590636
8,2,14,MCARv32,MCAR v3.2 epoch 39,HorizontalILDMAE,1.83629
8,2,14,FSPAE,FSP-AE direct generation,FullSphereERB,10.82447
8,2,14,FSPAE,FSP-AE direct generation,Contralateral25ERB,8.588842
