Metric,Comparator,SubjectCount,MCARQ6Mean_dB,ComparatorQ6Mean_dB,MCARMinusComparatorQ6Mean_dB,Q6DifferenceCI95Low_dB,Q6DifferenceCI95High_dB,MCARQ6MinusQ26Mean_dB,ComparatorQ6MinusQ26Mean_dB,DegradationDifferenceMean_dB,DegradationDifferenceCI95Low_dB,DegradationDifferenceCI95High_dB,MCARLowerQ6ErrorSubjectCount,MCARLowerDegradationSubjectCount
FullSphereERB,SH,12,2.10607475,3.583272583333333,-1.477197833333333,-1.54088551875,-1.4069860958333336,0.3249180833333332,1.2770900833333334,-0.952172,-1.0193837749999999,-0.8832376083333335,12,12
FullSphereERB,MCA,12,2.10607475,1.622956,0.48311875000000004,0.4444119020833334,0.5229022708333332,0.3249180833333332,0.8201060166666667,-0.4951879333333334,-0.5362209627083332,-0.45294812124999995,0,12
FullSphereERB,FSPAE,12,2.10607475,13.5719525,-11.465877749999999,-11.563881958333335,-11.348569060416667,0.3249180833333332,2.8573125000000004,-2.532394416666667,-2.6046254,-2.463931497916667,12,12
Contralateral25ERB,SH,12,2.318519916666667,7.511862833333333,-5.1933429166666665,-5.427865406250001,-4.953146320833334,-0.09569841666666672,1.9951177499999997,-2.090816166666667,-2.215230529166667,-1.9790216875,12,12
Contralateral25ERB,MCA,12,2.318519916666667,2.3820318333333335,-0.06351191666666667,-0.1115060479166666,-0.0038084708333334916,-0.09569841666666672,0.5217464166666667,-0.6174448333333333,-0.6776303291666667,-0.5520499937500002,9,12
Contralateral25ERB,FSPAE,12,2.318519916666667,9.152503666666666,-6.833983750000001,-6.961484689583335,-6.704850389583333,-0.09569841666666672,0.5617421666666664,-0.6574405833333333,-0.7900631124999998,-0.5393501791666666,12,12
ContralateralHighFrequency,SH,12,5.207259583333333,10.204926583333334,-4.997666999999999,-5.449165404166667,-4.524602616666667,0.59154125,2.793054916666667,-2.2015136666666666,-2.608984358333333,-1.817561266666667,12,12
ContralateralHighFrequency,MCA,12,5.207259583333333,5.690109083333334,-0.48284950000000015,-0.6552725395833334,-0.29229179166666686,0.59154125,1.6339873333333335,-1.0424460833333333,-1.2386079166666666,-0.84959964375,11,12
ContralateralHighFrequency,FSPAE,12,5.207259583333333,15.395160833333334,-10.18790125,-10.734035839583331,-9.586805964583332,0.59154125,4.1130735000000005,-3.5215322500000004,-3.7754285166666666,-3.2622396125000006,12,12
HorizontalILDMAE,SH,12,1.8959523333333335,8.402374333333333,-6.506422,-6.9176610979166675,-6.084199756249999,0.7998250000000001,1.6454481666666663,-0.8456231666666664,-1.14509055375,-0.5240715575000001,12,11
HorizontalILDMAE,MCA,12,1.8959523333333335,1.6629411666666665,0.23301116666666663,0.05736708333333326,0.39970705833333325,0.7998250000000001,0.7686502666666666,0.031174733333333298,-0.12261817000000011,0.18101191895833327,3,5
HorizontalILDMAE,FSPAE,12,1.8959523333333335,3.4451582500000004,-1.5492059166666667,-1.7344695708333333,-1.368899916666667,0.7998250000000001,-1.2585574166666664,2.058382416666667,1.5254916595833332,2.5885578729166667,12,0
