SubjectID,SparseOrder,DirectionCount,DenseEvaluationDirectionCount,FSPAEFrequencyMaxAbsError_Hz,FSPAEObservedHRIRMeanAbsError
8,1,6,899,0,NaN
8,2,14,899,0,NaN
8,3,26,899,0,NaN
18,1,6,899,0,NaN
18,2,14,899,0,NaN
18,3,26,899,0,NaN
22,1,6,899,0,NaN
22,2,14,899,0,NaN
22,3,26,899,0,NaN
26,1,6,899,0,NaN
26,2,14,899,0,NaN
26,3,26,899,0,NaN
31,1,6,899,0,NaN
31,2,14,899,0,NaN
31,3,26,899,0,NaN
33,1,6,899,0,NaN
33,2,14,899,0,NaN
33,3,26,899,0,NaN
45,1,6,899,0,NaN
45,2,14,899,0,NaN
45,3,26,899,0,NaN
47,1,6,899,0,NaN
47,2,14,899,0,NaN
47,3,26,899,0,NaN
59,1,6,899,0,NaN
59,2,14,899,0,NaN
59,3,26,899,0,NaN
70,1,6,899,0,NaN
70,2,14,899,0,NaN
70,3,26,899,0,NaN
73,1,6,899,0,NaN
73,2,14,899,0,NaN
73,3,26,899,0,NaN
81,1,6,899,0,NaN
81,2,14,899,0,NaN
81,3,26,899,0,NaN
