Method,Metric,SubjectCount,Q6MinusQ26Mean_dB,Q6MinusQ26Std_dB,Q6MinusQ26CI95Low_dB,Q6MinusQ26CI95High_dB,MeanSlope_dBPerHalving,SlopeStd_dBPerHalving,SlopeCI95Low_dBPerHalving,SlopeCI95High_dBPerHalving
SH,FullSphereERB,12,1.27709,0.08546163,1.227424,1.32056,0.593980208039284,0.0430625855418289,0.568976367513339,0.615931568046411
SH,Contralateral25ERB,12,1.995118,0.1921376,1.885426,2.092449,0.977006976803144,0.0954232172619136,0.921647501488527,1.02465211351713
SH,ContralateralHighFrequency,12,2.793056,0.5468774,2.493073,3.092192,1.33528204262257,0.259455394262629,1.19372320920229,1.47689867268006
SH,HorizontalILDMAE,12,1.645448,0.2884926,1.502124,1.807777,0.825480182965597,0.161490604951904,0.74250703305006,0.915777124464512
MCA,FullSphereERB,12,0.8201059,0.0965286,0.7695423,0.872587,0.393501348793507,0.0469942985281501,0.368830588956674,0.419136044879754
MCA,Contralateral25ERB,12,0.5217466,0.2142157,0.3974354,0.6287818,0.258022082969546,0.10472821516912,0.197770418599248,0.310727938388785
MCA,ContralateralHighFrequency,12,1.633987,0.3617016,1.429914,1.819593,0.781371290485064,0.173918822747473,0.682699777185917,0.870176052053769
MCA,HorizontalILDMAE,12,0.7686501,0.297624,0.6106724,0.9282147,0.365455756584803,0.146888591818562,0.288129840667049,0.444495317215721
MCARv32,FullSphereERB,12,0.3249181,0.0981483,0.2720257,0.3783296,0.154225264365474,0.0469725238722351,0.12895527202636,0.179798059165478
MCARv32,Contralateral25ERB,12,-0.0956985,0.1684709,-0.190564,-0.009711285,-0.054896812265118,0.0804810575554226,-0.100369996080796,-0.0135046474946042
MCARv32,ContralateralHighFrequency,12,0.5915412,0.3384596,0.40293,0.7680638,0.284764462461074,0.163802921143982,0.192852901915709,0.369765741750598
MCARv32,HorizontalILDMAE,12,0.7998252,0.4231627,0.5712589,1.029911,0.385459912339381,0.207372521830299,0.274876585269036,0.498872748886546
FSPAE,FullSphereERB,12,2.857313,0.0684975,2.821051,2.893371,1.40750042597453,0.0331184488698044,1.38988005618254,1.42487888534864
FSPAE,Contralateral25ERB,12,0.5617421,0.096701,0.510357,0.6146818,0.286533525834481,0.0460911753845524,0.261968304713567,0.311827481413881
FSPAE,ContralateralHighFrequency,12,4.113074,0.2526093,3.976154,4.248641,1.95146345098813,0.122217293682566,1.88539166251818,2.01701731979847
FSPAE,HorizontalILDMAE,12,-1.258557,0.7962039,-1.664273,-0.811792,-0.643750786781311,0.376394061611324,-0.835016715029876,-0.43147611990571
